,key_as_string,key,doc_count
321,2021-01-14T10:00:00.000Z,1610618400000,37
322,2021-01-14T11:00:00.000Z,1610622000000,9
323,2021-01-14T12:00:00.000Z,1610625600000,12
324,2021-01-14T13:00:00.000Z,1610629200000,4
325,2021-01-14T14:00:00.000Z,1610632800000,15
326,2021-01-14T15:00:00.000Z,1610636400000,5
327,2021-01-14T16:00:00.000Z,1610640000000,4
328,2021-01-14T17:00:00.000Z,1610643600000,6
329,2021-01-14T18:00:00.000Z,1610647200000,22
330,2021-01-14T19:00:00.000Z,1610650800000,2
331,2021-01-14T20:00:00.000Z,1610654400000,3
332,2021-01-14T21:00:00.000Z,1610658000000,0
333,2021-01-14T22:00:00.000Z,1610661600000,4
334,2021-01-14T23:00:00.000Z,1610665200000,1
335,2021-01-15T00:00:00.000Z,1610668800000,3
336,2021-01-15T01:00:00.000Z,1610672400000,1
337,2021-01-15T02:00:00.000Z,1610676000000,0
338,2021-01-15T03:00:00.000Z,1610679600000,3
339,2021-01-15T04:00:00.000Z,1610683200000,1
340,2021-01-15T05:00:00.000Z,1610686800000,1
341,2021-01-15T06:00:00.000Z,1610690400000,27
342,2021-01-15T07:00:00.000Z,1610694000000,5
343,2021-01-15T08:00:00.000Z,1610697600000,6
344,2021-01-15T09:00:00.000Z,1610701200000,12
345,2021-01-15T10:00:00.000Z,1610704800000,9
346,2021-01-15T11:00:00.000Z,1610708400000,9
347,2021-01-15T12:00:00.000Z,1610712000000,6
348,2021-01-15T13:00:00.000Z,1610715600000,10
349,2021-01-15T14:00:00.000Z,1610719200000,6
350,2021-01-15T15:00:00.000Z,1610722800000,27
351,2021-01-15T16:00:00.000Z,1610726400000,19
352,2021-01-15T17:00:00.000Z,1610730000000,18
353,2021-01-15T18:00:00.000Z,1610733600000,1
354,2021-01-15T19:00:00.000Z,1610737200000,2
355,2021-01-15T20:00:00.000Z,1610740800000,4
356,2021-01-15T21:00:00.000Z,1610744400000,5
357,2021-01-15T22:00:00.000Z,1610748000000,1
358,2021-01-15T23:00:00.000Z,1610751600000,2
359,2021-01-16T00:00:00.000Z,1610755200000,12
360,2021-01-16T01:00:00.000Z,1610758800000,2
361,2021-01-16T02:00:00.000Z,1610762400000,1
362,2021-01-16T03:00:00.000Z,1610766000000,1
363,2021-01-16T04:00:00.000Z,1610769600000,2
364,2021-01-16T05:00:00.000Z,1610773200000,2
365,2021-01-16T06:00:00.000Z,1610776800000,2
366,2021-01-16T07:00:00.000Z,1610780400000,0
367,2021-01-16T08:00:00.000Z,1610784000000,2
368,2021-01-16T09:00:00.000Z,1610787600000,5
369,2021-01-16T10:00:00.000Z,1610791200000,2
370,2021-01-16T11:00:00.000Z,1610794800000,3
371,2021-01-16T12:00:00.000Z,1610798400000,17
372,2021-01-16T13:00:00.000Z,1610802000000,6
373,2021-01-16T14:00:00.000Z,1610805600000,2
374,2021-01-16T15:00:00.000Z,1610809200000,1
375,2021-01-16T16:00:00.000Z,1610812800000,3
376,2021-01-16T17:00:00.000Z,1610816400000,2
377,2021-01-16T18:00:00.000Z,1610820000000,1
378,2021-01-16T19:00:00.000Z,1610823600000,2
379,2021-01-16T20:00:00.000Z,1610827200000,0
380,2021-01-16T21:00:00.000Z,1610830800000,2
381,2021-01-16T22:00:00.000Z,1610834400000,2
382,2021-01-16T23:00:00.000Z,1610838000000,2
383,2021-01-17T00:00:00.000Z,1610841600000,7
384,2021-01-17T01:00:00.000Z,1610845200000,0
385,2021-01-17T02:00:00.000Z,1610848800000,0
386,2021-01-17T03:00:00.000Z,1610852400000,1
387,2021-01-17T04:00:00.000Z,1610856000000,5
388,2021-01-17T05:00:00.000Z,1610859600000,0
389,2021-01-17T06:00:00.000Z,1610863200000,5
390,2021-01-17T07:00:00.000Z,1610866800000,2
391,2021-01-17T08:00:00.000Z,1610870400000,7
392,2021-01-17T09:00:00.000Z,1610874000000,3
393,2021-01-17T10:00:00.000Z,1610877600000,2
394,2021-01-17T11:00:00.000Z,1610881200000,5
395,2021-01-17T12:00:00.000Z,1610884800000,0
396,2021-01-17T13:00:00.000Z,1610888400000,2
397,2021-01-17T14:00:00.000Z,1610892000000,2
398,2021-01-17T15:00:00.000Z,1610895600000,3
399,2021-01-17T16:00:00.000Z,1610899200000,11
400,2021-01-17T17:00:00.000Z,1610902800000,2
401,2021-01-17T18:00:00.000Z,1610906400000,4
402,2021-01-17T19:00:00.000Z,1610910000000,1
403,2021-01-17T20:00:00.000Z,1610913600000,4
404,2021-01-17T21:00:00.000Z,1610917200000,4
405,2021-01-17T22:00:00.000Z,1610920800000,0
406,2021-01-17T23:00:00.000Z,1610924400000,4
407,2021-01-18T00:00:00.000Z,1610928000000,3
408,2021-01-18T01:00:00.000Z,1610931600000,0
409,2021-01-18T02:00:00.000Z,1610935200000,0
410,2021-01-18T03:00:00.000Z,1610938800000,3
411,2021-01-18T04:00:00.000Z,1610942400000,18
412,2021-01-18T05:00:00.000Z,1610946000000,43
413,2021-01-18T06:00:00.000Z,1610949600000,44
414,2021-01-18T07:00:00.000Z,1610953200000,9
415,2021-01-18T08:00:00.000Z,1610956800000,17
416,2021-01-18T09:00:00.000Z,1610960400000,9
417,2021-01-18T10:00:00.000Z,1610964000000,33
418,2021-01-18T11:00:00.000Z,1610967600000,7
419,2021-01-18T12:00:00.000Z,1610971200000,6
420,2021-01-18T13:00:00.000Z,1610974800000,11
421,2021-01-18T14:00:00.000Z,1610978400000,22
422,2021-01-18T15:00:00.000Z,1610982000000,12
423,2021-01-18T16:00:00.000Z,1610985600000,17
424,2021-01-18T17:00:00.000Z,1610989200000,9
425,2021-01-18T18:00:00.000Z,1610992800000,3
426,2021-01-18T19:00:00.000Z,1610996400000,16
427,2021-01-18T20:00:00.000Z,1611000000000,5
428,2021-01-18T21:00:00.000Z,1611003600000,6
429,2021-01-18T22:00:00.000Z,1611007200000,3
430,2021-01-18T23:00:00.000Z,1611010800000,0
431,2021-01-19T00:00:00.000Z,1611014400000,7
432,2021-01-19T01:00:00.000Z,1611018000000,9
433,2021-01-19T02:00:00.000Z,1611021600000,0
434,2021-01-19T03:00:00.000Z,1611025200000,2
435,2021-01-19T04:00:00.000Z,1611028800000,41
436,2021-01-19T05:00:00.000Z,1611032400000,2
437,2021-01-19T06:00:00.000Z,1611036000000,11
438,2021-01-19T07:00:00.000Z,1611039600000,145
439,2021-01-19T08:00:00.000Z,1611043200000,41
440,2021-01-19T09:00:00.000Z,1611046800000,24
441,2021-01-19T10:00:00.000Z,1611050400000,32
442,2021-01-19T11:00:00.000Z,1611054000000,34
443,2021-01-19T12:00:00.000Z,1611057600000,41
444,2021-01-19T13:00:00.000Z,1611061200000,11
445,2021-01-19T14:00:00.000Z,1611064800000,55
446,2021-01-19T15:00:00.000Z,1611068400000,6
447,2021-01-19T16:00:00.000Z,1611072000000,10
448,2021-01-19T17:00:00.000Z,1611075600000,14
449,2021-01-19T18:00:00.000Z,1611079200000,8
450,2021-01-19T19:00:00.000Z,1611082800000,6
451,2021-01-19T20:00:00.000Z,1611086400000,0
452,2021-01-19T21:00:00.000Z,1611090000000,2
453,2021-01-19T22:00:00.000Z,1611093600000,8
454,2021-01-19T23:00:00.000Z,1611097200000,1
455,2021-01-20T00:00:00.000Z,1611100800000,5
456,2021-01-20T01:00:00.000Z,1611104400000,2
457,2021-01-20T02:00:00.000Z,1611108000000,4
458,2021-01-20T03:00:00.000Z,1611111600000,7
459,2021-01-20T04:00:00.000Z,1611115200000,3
460,2021-01-20T05:00:00.000Z,1611118800000,21
461,2021-01-20T06:00:00.000Z,1611122400000,28
462,2021-01-20T07:00:00.000Z,1611126000000,32
463,2021-01-20T08:00:00.000Z,1611129600000,15
464,2021-01-20T09:00:00.000Z,1611133200000,34
465,2021-01-20T10:00:00.000Z,1611136800000,16
466,2021-01-20T11:00:00.000Z,1611140400000,14
467,2021-01-20T12:00:00.000Z,1611144000000,22
468,2021-01-20T13:00:00.000Z,1611147600000,10
469,2021-01-20T14:00:00.000Z,1611151200000,44
470,2021-01-20T15:00:00.000Z,1611154800000,20
471,2021-01-20T16:00:00.000Z,1611158400000,18
472,2021-01-20T17:00:00.000Z,1611162000000,14
473,2021-01-20T18:00:00.000Z,1611165600000,13
474,2021-01-20T19:00:00.000Z,1611169200000,3
475,2021-01-20T20:00:00.000Z,1611172800000,8
476,2021-01-20T21:00:00.000Z,1611176400000,4
477,2021-01-20T22:00:00.000Z,1611180000000,0
478,2021-01-20T23:00:00.000Z,1611183600000,3
479,2021-01-21T00:00:00.000Z,1611187200000,0
480,2021-01-21T01:00:00.000Z,1611190800000,3
481,2021-01-21T02:00:00.000Z,1611194400000,4
482,2021-01-21T03:00:00.000Z,1611198000000,4
483,2021-01-21T04:00:00.000Z,1611201600000,7
484,2021-01-21T05:00:00.000Z,1611205200000,2
485,2021-01-21T06:00:00.000Z,1611208800000,26
486,2021-01-21T07:00:00.000Z,1611212400000,43
487,2021-01-21T08:00:00.000Z,1611216000000,30
488,2021-01-21T09:00:00.000Z,1611219600000,11
489,2021-01-21T10:00:00.000Z,1611223200000,23
490,2021-01-21T11:00:00.000Z,1611226800000,87
491,2021-01-21T12:00:00.000Z,1611230400000,32
492,2021-01-21T13:00:00.000Z,1611234000000,15
493,2021-01-21T14:00:00.000Z,1611237600000,7
494,2021-01-21T15:00:00.000Z,1611241200000,12
495,2021-01-21T16:00:00.000Z,1611244800000,34
496,2021-01-21T17:00:00.000Z,1611248400000,4
497,2021-01-21T18:00:00.000Z,1611252000000,1
498,2021-01-21T19:00:00.000Z,1611255600000,9
499,2021-01-21T20:00:00.000Z,1611259200000,3
500,2021-01-21T21:00:00.000Z,1611262800000,7
501,2021-01-21T22:00:00.000Z,1611266400000,7
502,2021-01-21T23:00:00.000Z,1611270000000,6
503,2021-01-22T00:00:00.000Z,1611273600000,4
504,2021-01-22T01:00:00.000Z,1611277200000,0
505,2021-01-22T02:00:00.000Z,1611280800000,4
506,2021-01-22T03:00:00.000Z,1611284400000,1
507,2021-01-22T04:00:00.000Z,1611288000000,1
508,2021-01-22T05:00:00.000Z,1611291600000,5
509,2021-01-22T06:00:00.000Z,1611295200000,28
510,2021-01-22T07:00:00.000Z,1611298800000,0
511,2021-01-22T08:00:00.000Z,1611302400000,3
512,2021-01-22T09:00:00.000Z,1611306000000,10
513,2021-01-22T10:00:00.000Z,1611309600000,11
514,2021-01-22T11:00:00.000Z,1611313200000,21
515,2021-01-22T12:00:00.000Z,1611316800000,7
516,2021-01-22T13:00:00.000Z,1611320400000,24
517,2021-01-22T14:00:00.000Z,1611324000000,5
518,2021-01-22T15:00:00.000Z,1611327600000,6
519,2021-01-22T16:00:00.000Z,1611331200000,11
520,2021-01-22T17:00:00.000Z,1611334800000,26
521,2021-01-22T18:00:00.000Z,1611338400000,3
522,2021-01-22T19:00:00.000Z,1611342000000,2
523,2021-01-22T20:00:00.000Z,1611345600000,5
524,2021-01-22T21:00:00.000Z,1611349200000,3
525,2021-01-22T22:00:00.000Z,1611352800000,3
526,2021-01-22T23:00:00.000Z,1611356400000,4
527,2021-01-23T00:00:00.000Z,1611360000000,2
528,2021-01-23T01:00:00.000Z,1611363600000,1
529,2021-01-23T02:00:00.000Z,1611367200000,1
530,2021-01-23T03:00:00.000Z,1611370800000,0
531,2021-01-23T04:00:00.000Z,1611374400000,3
532,2021-01-23T05:00:00.000Z,1611378000000,1
533,2021-01-23T06:00:00.000Z,1611381600000,0
534,2021-01-23T07:00:00.000Z,1611385200000,10
535,2021-01-23T08:00:00.000Z,1611388800000,10
536,2021-01-23T09:00:00.000Z,1611392400000,4
537,2021-01-23T10:00:00.000Z,1611396000000,2
538,2021-01-23T11:00:00.000Z,1611399600000,47
539,2021-01-23T12:00:00.000Z,1611403200000,45
540,2021-01-23T13:00:00.000Z,1611406800000,2
541,2021-01-23T14:00:00.000Z,1611410400000,2
542,2021-01-23T15:00:00.000Z,1611414000000,1
543,2021-01-23T16:00:00.000Z,1611417600000,3
544,2021-01-23T17:00:00.000Z,1611421200000,4
545,2021-01-23T18:00:00.000Z,1611424800000,2
546,2021-01-23T19:00:00.000Z,1611428400000,1
547,2021-01-23T20:00:00.000Z,1611432000000,4
548,2021-01-23T21:00:00.000Z,1611435600000,2
549,2021-01-23T22:00:00.000Z,1611439200000,3
550,2021-01-23T23:00:00.000Z,1611442800000,4
551,2021-01-24T00:00:00.000Z,1611446400000,3
552,2021-01-24T01:00:00.000Z,1611450000000,0
553,2021-01-24T02:00:00.000Z,1611453600000,5
554,2021-01-24T03:00:00.000Z,1611457200000,0
555,2021-01-24T04:00:00.000Z,1611460800000,0
556,2021-01-24T05:00:00.000Z,1611464400000,1
557,2021-01-24T06:00:00.000Z,1611468000000,1
558,2021-01-24T07:00:00.000Z,1611471600000,1
559,2021-01-24T08:00:00.000Z,1611475200000,2
560,2021-01-24T09:00:00.000Z,1611478800000,2
561,2021-01-24T10:00:00.000Z,1611482400000,2
562,2021-01-24T11:00:00.000Z,1611486000000,1
563,2021-01-24T12:00:00.000Z,1611489600000,2
564,2021-01-24T13:00:00.000Z,1611493200000,1
565,2021-01-24T14:00:00.000Z,1611496800000,3
566,2021-01-24T15:00:00.000Z,1611500400000,2
567,2021-01-24T16:00:00.000Z,1611504000000,2
568,2021-01-24T17:00:00.000Z,1611507600000,2
569,2021-01-24T18:00:00.000Z,1611511200000,3
570,2021-01-24T19:00:00.000Z,1611514800000,2
571,2021-01-24T20:00:00.000Z,1611518400000,12
572,2021-01-24T21:00:00.000Z,1611522000000,2
573,2021-01-24T22:00:00.000Z,1611525600000,2
574,2021-01-24T23:00:00.000Z,1611529200000,4
575,2021-01-25T00:00:00.000Z,1611532800000,1
576,2021-01-25T01:00:00.000Z,1611536400000,0
577,2021-01-25T02:00:00.000Z,1611540000000,2
578,2021-01-25T03:00:00.000Z,1611543600000,1
579,2021-01-25T04:00:00.000Z,1611547200000,1
580,2021-01-25T05:00:00.000Z,1611550800000,16
581,2021-01-25T06:00:00.000Z,1611554400000,2
582,2021-01-25T07:00:00.000Z,1611558000000,7
583,2021-01-25T08:00:00.000Z,1611561600000,35
584,2021-01-25T09:00:00.000Z,1611565200000,3
585,2021-01-25T10:00:00.000Z,1611568800000,24
586,2021-01-25T11:00:00.000Z,1611572400000,7
587,2021-01-25T12:00:00.000Z,1611576000000,42
588,2021-01-25T13:00:00.000Z,1611579600000,20
589,2021-01-25T14:00:00.000Z,1611583200000,7
590,2021-01-25T15:00:00.000Z,1611586800000,15
591,2021-01-25T16:00:00.000Z,1611590400000,43
592,2021-01-25T17:00:00.000Z,1611594000000,15
593,2021-01-25T18:00:00.000Z,1611597600000,2
594,2021-01-25T19:00:00.000Z,1611601200000,6
595,2021-01-25T20:00:00.000Z,1611604800000,0
596,2021-01-25T21:00:00.000Z,1611608400000,125
597,2021-01-25T22:00:00.000Z,1611612000000,17
598,2021-01-25T23:00:00.000Z,1611615600000,7
599,2021-01-26T00:00:00.000Z,1611619200000,4
600,2021-01-26T01:00:00.000Z,1611622800000,4
601,2021-01-26T02:00:00.000Z,1611626400000,4
602,2021-01-26T03:00:00.000Z,1611630000000,4
603,2021-01-26T04:00:00.000Z,1611633600000,18
604,2021-01-26T05:00:00.000Z,1611637200000,8
605,2021-01-26T06:00:00.000Z,1611640800000,106
606,2021-01-26T07:00:00.000Z,1611644400000,26
607,2021-01-26T08:00:00.000Z,1611648000000,23
608,2021-01-26T09:00:00.000Z,1611651600000,12
609,2021-01-26T10:00:00.000Z,1611655200000,35
610,2021-01-26T11:00:00.000Z,1611658800000,13
611,2021-01-26T12:00:00.000Z,1611662400000,19
612,2021-01-26T13:00:00.000Z,1611666000000,34
613,2021-01-26T14:00:00.000Z,1611669600000,17
614,2021-01-26T15:00:00.000Z,1611673200000,27
615,2021-01-26T16:00:00.000Z,1611676800000,8
616,2021-01-26T17:00:00.000Z,1611680400000,4
617,2021-01-26T18:00:00.000Z,1611684000000,7
618,2021-01-26T19:00:00.000Z,1611687600000,2
619,2021-01-26T20:00:00.000Z,1611691200000,3
620,2021-01-26T21:00:00.000Z,1611694800000,2
621,2021-01-26T22:00:00.000Z,1611698400000,6
622,2021-01-26T23:00:00.000Z,1611702000000,16
623,2021-01-27T00:00:00.000Z,1611705600000,4
624,2021-01-27T01:00:00.000Z,1611709200000,2
625,2021-01-27T02:00:00.000Z,1611712800000,3
626,2021-01-27T03:00:00.000Z,1611716400000,2
627,2021-01-27T04:00:00.000Z,1611720000000,2
628,2021-01-27T05:00:00.000Z,1611723600000,12
629,2021-01-27T06:00:00.000Z,1611727200000,7
630,2021-01-27T07:00:00.000Z,1611730800000,4
631,2021-01-27T08:00:00.000Z,1611734400000,5
632,2021-01-27T09:00:00.000Z,1611738000000,36
633,2021-01-27T10:00:00.000Z,1611741600000,32
634,2021-01-27T11:00:00.000Z,1611745200000,5
635,2021-01-27T12:00:00.000Z,1611748800000,7
636,2021-01-27T13:00:00.000Z,1611752400000,4
637,2021-01-27T14:00:00.000Z,1611756000000,3
638,2021-01-27T15:00:00.000Z,1611759600000,1
639,2021-01-27T16:00:00.000Z,1611763200000,1
640,2021-01-27T17:00:00.000Z,1611766800000,5
